horizon_iterations,model,fold,R2,MAE_ms,RMSE_ms,baseline_MAE_ms,baseline_RMSE_ms,MAE_improvement,RMSE_improvement
50,N+H,1,-5.791553257652521,0.20893637387474168,0.3002053513091622,0.10243657627118645,0.1266457905635147,-0.10649979760355523,-0.17355956074564752
50,N+H,2,-0.9918972988069392,0.1252410612444662,0.14638901794181017,0.11095661016949153,0.13237633169573912,-0.014284451074974683,-0.014012686246071049
50,N+H,3,-0.1483042482064456,0.1417955111845562,0.17576016417831078,0.20907016949152535,0.24951720322471696,0.06727465830696916,0.07375703904640618
50,N+H,4,0.03385408971369075,0.28520357232996935,0.34915950012034247,0.41650644067796616,0.49673717362165193,0.13130286834799682,0.14757767350130946
50,N+H,5,-0.027882186683257926,0.3357155499062524,0.44251611374837974,0.5310777966101694,0.6607641719559846,0.195362246703917,0.21824805820760484
50,Spatial,1,-0.9897775069353392,0.1310581714704146,0.16249355221193262,0.10243657627118645,0.1266457905635147,-0.028621595199228148,-0.035847761648417936
50,Spatial,2,-0.06344499261704928,0.08666813482491616,0.10696274538071912,0.11095661016949153,0.13237633169573912,0.024288475344575372,0.025413586315019998
50,Spatial,3,-0.4299561686144546,0.15643499007151754,0.19613419920237668,0.20907016949152535,0.24951720322471696,0.05263517942000781,0.05338300402234028
50,Spatial,4,-0.028643252325372126,0.29704102928624515,0.36027563633007265,0.41650644067796616,0.49673717362165193,0.11946541139172101,0.13646153729157928
50,Spatial,5,-0.009188490077514322,0.3260220004080011,0.438473715146092,0.5310777966101694,0.6607641719559846,0.2050557962021683,0.22229045680989257
120,N,1,-22.82707575929664,0.4593977051689702,0.5174566286456361,0.14493172413793107,0.16966220274741056,-0.3144659810310392,-0.34779442589822557
120,N,2,-0.014105957842558858,0.09626597954327645,0.12067169929526735,0.20541793103448278,0.2335880350325008,0.10915195149120632,0.11291633573723346
120,N,3,-0.546056192198578,0.17175492259647887,0.21745618268272204,0.45827551724137927,0.4903800319456681,0.28652059464490043,0.27292384926294605
120,N,4,0.2509300052015617,0.23524360870207287,0.290442787068664,0.7816827586206896,0.8506724375882964,0.5464391499186168,0.5602296505196324
120,N,5,-0.12868478959666074,0.4687018380186884,0.579008890933054,1.1769658620689656,1.2930848252344949,0.7082640240502771,0.7140759343014409
120,N+H,1,-2.8160928620133463,0.1610474618088252,0.20708471708984472,0.14493172413793107,0.16966220274741056,-0.016115737670894137,-0.037422514342434154
120,N+H,2,-5.484566974203044,0.274775876849319,0.30514359005561703,0.20541793103448278,0.2335880350325008,-0.0693579458148362,-0.07155555502311622
120,N+H,3,-0.13716034655098142,0.14979321024000095,0.18649619533807305,0.45827551724137927,0.4903800319456681,0.30848230700137835,0.30388383660759505
120,N+H,4,0.17869114443603562,0.24120759810096887,0.3041253682470799,0.7816827586206896,0.8506724375882964,0.5404751605197207,0.5465470693412164
120,N+H,5,-0.1800244891832632,0.4908073440814552,0.5920309435945216,1.1769658620689656,1.2930848252344949,0.6861585179875104,0.7010538816399733
120,Spatial,1,-31.437116692131447,0.5087197825432449,0.60375355839209,0.14493172413793107,0.16966220274741056,-0.3637880584053138,-0.43409135564467943
120,Spatial,2,-0.5657558735108201,0.12747219692250666,0.1499428585731426,0.20541793103448278,0.2335880350325008,0.07794573411197611,0.0836451764593582
120,Spatial,3,-1.490157915210585,0.23180671694086205,0.2759767953187173,0.45827551724137927,0.4903800319456681,0.22646880030051722,0.21440323662695077
