iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
990,42,6,7795,0.00743389,0.208313,0.200879,6,0.09375,4.20702,1.43565
1000,42,16,7700,0.00734329,0.202393,0.195049,6,0.09375,4.17543,1.27693
1010,43,2,7801,0.00743961,0.196167,0.188727,6,0.09375,4.10255,1.31994
1020,43,12,7892,0.0075264,0.19458,0.187054,6,0.09375,4.10798,1.37011
1030,43,22,8318,0.00793266,0.207092,0.19916,6,0.09375,4.11843,1.57594
1040,44,8,8661,0.00825977,0.210327,0.202067,6,0.09375,4.05668,1.42541
1050,44,18,8789,0.00838184,0.220825,0.212443,6,0.09375,4.09261,1.52371
1060,45,4,8912,0.00849915,0.224731,0.216232,6,0.09375,4.08571,1.46739
1070,45,14,9103,0.0086813,0.215698,0.207017,6,0.09375,4.00007,1.57082
1080,45,24,9838,0.00938225,0.224792,0.21541,6,0.09375,3.93218,1.60973
1090,46,10,9867,0.0094099,0.223877,0.214467,6,0.09375,3.92244,1.58822
1100,46,20,10304,0.00982666,0.23645,0.226624,6,0.09375,3.93974,1.61382
1110,47,6,10081,0.00961399,0.232544,0.22293,6,0.09375,3.93611,1.65376
1120,47,16,10553,0.0100641,0.22821,0.218146,6,0.09375,3.84136,1.62611
1130,48,2,10419,0.00993633,0.22052,0.210584,6,0.09375,3.79582,1.53395
1140,48,12,10691,0.0101957,0.223633,0.213437,7,0.109375,3.79616,1.61178
1150,48,22,11112,0.0105972,0.239624,0.229027,7,0.109375,3.83166,1.67834
1160,49,8,10995,0.0104856,0.235535,0.225049,7,0.109375,3.79402,1.64454
1170,49,18,10820,0.0103188,0.228455,0.218136,7,0.109375,3.76255,1.64352
1180,50,4,11079,0.0105658,0.241333,0.230767,7,0.109375,3.79471,1.62918
1190,50,14,11131,0.0106153,0.246155,0.235539,6,0.09375,3.83538,1.72749
1200,50,24,11640,0.0111008,0.249451,0.23835,6,0.09375,3.77254,1.59027
1210,51,10,11819,0.0112715,0.246033,0.234761,6,0.09375,3.72189,1.71315
1220,51,20,12166,0.0116024,0.246704,0.235102,6,0.09375,3.69615,1.63635
1230,52,6,11978,0.0114231,0.240845,0.229422,6,0.09375,3.67955,1.78176
1240,52,16,11486,0.0109539,0.224365,0.213411,6,0.09375,3.65969,1.57594
1250,53,2,11966,0.0114117,0.230713,0.219301,6,0.09375,3.6235,1.78688
1260,53,12,12452,0.0118752,0.239685,0.22781,6,0.09375,3.64105,1.66195
1270,53,22,12867,0.0122709,0.239502,0.227231,6,0.09375,3.61397,1.80224
1280,54,8,13171,0.0125608,0.228821,0.21626,6,0.09375,3.60508,1.64659
1290,54,18,13127,0.0125189,0.213867,0.201348,7,0.109375,3.61015,1.70803
1300,55,4,13314,0.0126972,0.220093,0.207396,6,0.09375,3.56019,1.68141
1310,55,14,13309,0.0126925,0.21936,0.206668,8,0.125,3.56052,1.8647
1320,55,24,13953,0.0133066,0.245056,0.23175,8,0.125,3.56964,1.83706
1330,56,10,13935,0.0132895,0.239502,0.226213,7,0.109375,3.52877,1.85754
1340,56,20,14249,0.0135889,0.248291,0.234702,7,0.109375,3.5359,1.77971
1350,57,6,14476,0.0138054,0.250549,0.236744,7,0.109375,3.5113,1.87597
1360,57,16,15170,0.0144672,0.252686,0.238218,7,0.109375,3.47676,1.95584
1370,58,2,15252,0.0145454,0.245117,0.230572,7,0.109375,3.47636,1.83296
1380,58,12,15408,0.0146942,0.238403,0.223709,8,0.125,3.45865,1.82989
1390,58,22,15622,0.0148983,0.237854,0.222956,8,0.125,3.4777,1.97325
1400,59,8,15686,0.0149593,0.248047,0.233088,8,0.125,3.46659,1.87597
1410,59,18,15673,0.0149469,0.25592,0.240973,8,0.125,3.46546,1.85549
1420,60,4,15687,0.0149603,0.261719,0.246758,8,0.125,3.46942,1.9671
1430,60,14,16181,0.0154314,0.254944,0.239512,8,0.125,3.46467,1.93741
1440,60,24,16858,0.016077,0.263367,0.24729,8,0.125,3.43423,2.04083
1450,61,10,17353,0.0165491,0.27124,0.254691,8,0.125,3.39713,2.07155
1460,61,20,17604,0.0167885,0.270691,0.253902,8,0.125,3.37295,1.93331
1470,62,6,17416,0.0166092,0.255432,0.238823,9,0.140625,3.35829,1.92614
1480,62,16,17440,0.0166321,0.254822,0.23819,9,0.140625,3.34757,2.00192
1490,63,2,18086,0.0172482,0.26886,0.251612,9,0.140625,3.35887,2.08589
1500,63,12,18661,0.0177965,0.278198,0.260402,10,0.15625,3.34278,1.96915
1510,63,22,18750,0.0178814,0.283569,0.265688,12,0.1875,3.35972,2.06438
1520,64,8,18884,0.0180092,0.275024,0.257015,10,0.15625,3.33161,2.09818
1530,64,18,19030,0.0181484,0.281677,0.263529,12,0.1875,3.293,1.97427
1540,65,4,19353,0.0184565,0.277649,0.259192,13,0.203125,3.24803,2.10125
1550,65,14,19234,0.018343,0.281555,0.263212,13,0.203125,3.24999,2.10534
1560,65,24,18921,0.0180445,0.272278,0.254233,12,0.1875,3.23978,1.93946
1570,66,10,19816,0.018898,0.279297,0.260399,11,0.171875,3.21875,2.18214
1580,66,20,20133,0.0192003,0.306946,0.287745,12,0.1875,3.24139,2.17293
1590,67,6,20372,0.0194283,0.289917,0.270489,13,0.203125,3.19914,2.16986
1600,67,16,20453,0.0195055,0.27124,0.251735,12,0.1875,3.14901,2.14426
1610,68,2,20918,0.019949,0.278503,0.258554,13,0.203125,3.16252,2.04493
1620,68,12,20613,0.0196581,0.270203,0.250545,13,0.203125,3.13558,2.06336
1630,68,22,21344,0.0203552,0.283264,0.262909,13,0.203125,3.12804,2.3337
1640,69,8,21962,0.0209446,0.30542,0.284475,13,0.203125,3.14626,2.21389
1650,69,18,22306,0.0212727,0.317932,0.296659,12,0.1875,3.14893,2.2528
1660,70,4,22488,0.0214462,0.317688,0.296242,13,0.203125,3.13622,2.39923
1670,70,14,23027,0.0219603,0.303406,0.281446,13,0.203125,3.11264,2.36954
1680,70,24,23528,0.022438,0.312195,0.289757,13,0.203125,3.10645,2.39309
1690,71,10,24786,0.0236378,0.314026,0.290388,13,0.203125,3.08612,2.38285
1700,71,20,25440,0.0242615,0.322754,0.298492,13,0.203125,3.07346,2.33882
1710,72,6,25932,0.0247307,0.329529,0.304798,13,0.203125,3.05543,2.44326
1720,72,16,25785,0.0245905,0.320862,0.296271,13,0.203125,3.06183,2.45862
1730,73,2,26075,0.0248671,0.330261,0.305394,13,0.203125,3.01912,2.50778
1740,73,12,26524,0.0252953,0.342529,0.317234,13,0.203125,2.98453,2.49549
1750,73,22,26858,0.0256138,0.349854,0.32424,13,0.203125,3.00058,2.5385
1760,74,8,27220,0.025959,0.348999,0.32304,13,0.203125,2.98951,2.67469
1770,74,18,27502,0.026228,0.349243,0.323015,13,0.203125,2.96399,2.59482
1780,75,4,27544,0.026268,0.360046,0.333778,13,0.203125,2.95767,2.49958
1790,75,14,27790,0.0265026,0.353638,0.327135,13,0.203125,2.9426,2.53952
1800,75,24,29077,0.02773,0.363525,0.335795,13,0.203125,2.89184,2.59686
1810,76,10,29283,0.0279264,0.356628,0.328702,13,0.203125,2.86783,2.78426
1820,76,20,28949,0.0276079,0.345886,0.318278,13,0.203125,2.85741,2.62656
1830,77,6,30182,0.0287838,0.340759,0.311975,13,0.203125,2.82175,2.60301
1840,77,16,31054,0.0296154,0.345459,0.315844,13,0.203125,2.79584,2.74022
1850,78,2,31615,0.0301504,0.362854,0.332704,13,0.203125,2.77854,2.74739
1860,78,12,32276,0.0307808,0.381531,0.35075,13,0.203125,2.75789,2.87949
1870,78,22,32114,0.0306263,0.366028,0.335402,13,0.203125,2.72977,2.78733
1880,79,8,32330,0.0308323,0.359375,0.328543,13,0.203125,2.71331,2.80064
1890,79,18,32914,0.0313892,0.356934,0.325544,13,0.203125,2.69513,2.81702
1900,80,4,33840,0.0322723,0.355042,0.322769,13,0.203125,2.67824,2.95424
1910,80,14,34594,0.0329914,0.345703,0.312712,13,0.203125,2.63888,3.09862
1920,80,24,35749,0.0340929,0.348572,0.314479,13,0.203125,2.6164,3.0679
1930,81,10,35505,0.0338602,0.342407,0.308547,13,0.203125,2.58829,3.07917
1940,81,20,35852,0.0341911,0.348206,0.314014,14,0.21875,2.55601,3.06278
1950,82,6,36589,0.034894,0.350159,0.315265,14,0.21875,2.53734,3.31776
1960,82,16,36787,0.0350828,0.350891,0.315808,14,0.21875,2.53244,3.3495
1970,83,2,37415,0.0356817,0.365356,0.329675,14,0.21875,2.53069,3.40582
1980,83,12,37795,0.0360441,0.358276,0.322232,14,0.21875,2.50229,3.2512
