validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
GroupKFold5,increment,20,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Spatial,0.03071664874513691,0.2961873998671062,0.4692253907531087,3.2007623060917503,3.673308350842238
GroupKFold5,increment,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Persistence,-0.06652319570437748,0.2567364134078212,0.3486956917772126,0.0,0.0
GroupKFold5,increment,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N,0.04346268463000302,0.24268389152481132,0.3302268541982935,5.473521148201022,5.296548828804899
GroupKFold5,increment,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N+H,0.043980592701424404,0.24259068460641123,0.3301374429923905,5.509825666583474,5.322190443545619
GroupKFold5,increment,20,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Spatial,0.044904461331836565,0.2426707704642104,0.32997788694823327,5.4786318609459554,5.3679484061244
GroupKFold5,increment,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Persistence,-0.07127160282970002,0.2530188938547486,0.35106310224271553,0.0,0.0
GroupKFold5,increment,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N,0.05253113792337094,0.23586638271778765,0.3301549879001157,6.779142409344251,5.955657034029315
GroupKFold5,increment,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N+H,0.05259942387283667,0.235773590752382,0.3301430902251887,6.815816336730449,5.959046075728951
GroupKFold5,increment,20,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Spatial,0.05019367645161543,0.2360765998340832,0.3305619929261022,6.69605884467725,5.83972202878769
GroupKFold5,increment,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Persistence,-0.09463830056944955,0.22509099999999996,0.2990356196629163,0.0,0.0
GroupKFold5,increment,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N,0.04888225272431701,0.20988948333048557,0.27874349769401446,6.753498216061233,6.785854471710043
GroupKFold5,increment,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N+H,0.048507361336531885,0.20967482180415556,0.2787984268769476,6.848864768402291,6.767485695777909
GroupKFold5,increment,20,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Spatial,0.050065512908483156,0.20962464017027518,0.27857005506339605,6.871158700136735,6.843855130900384
GroupKFold5,absolute,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Persistence,0.987553413175187,0.37478129577464786,0.5258509716173676,0.0,0.0
GroupKFold5,absolute,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N,0.9783258758761797,0.5748557518445435,0.693918270337734,-53.384322623773194,-31.961013251233393
GroupKFold5,absolute,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",N+H,0.9890721809935396,0.38518792622639836,0.4927246513493341,-2.7767208686977534,6.299564335908026
GroupKFold5,absolute,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",Spatial,0.9914724163502495,0.328926641138182,0.43526178455648434,12.235043518297083,17.227159775374524
GroupKFold5,absolute,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Persistence,0.9862444376647294,0.380412552112676,0.5723275355542489,0.0,0.0
GroupKFold5,absolute,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N,0.979861960315554,0.5416222502592537,0.6924908869040601,-42.377596967102264,-20.995556544984968
GroupKFold5,absolute,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",N+H,0.9882797245191068,0.413749164850057,0.528292416083521,-8.763278854033954,7.694041739243557
GroupKFold5,absolute,50,2,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",Spatial,0.9906758546013122,0.337746526267395,0.4712051028467323,11.215725035446145,17.668629661438253
GroupKFold5,absolute,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Persistence,0.9891121067071443,0.32797169014084504,0.45069727650001346,0.0,0.0
GroupKFold5,absolute,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N,0.9796991059462896,0.5103748254737075,0.6154185577294293,-55.6155121969615,-36.5480977627809
GroupKFold5,absolute,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",N+H,0.9882983424252267,0.37677496878392835,0.467236431491111,-14.88033269643642,-3.6696815919403596
GroupKFold5,absolute,50,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",Spatial,0.9927355132051818,0.2808137911672686,0.36814209129817477,14.378649252722026,18.31721412717173
GroupKFold5,absolute,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Persistence,0.9887450956177385,0.33387717746478873,0.46848693487392,0.0,0.0
GroupKFold5,absolute,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N,0.9779838808351484,0.5251348380901709,0.6552348113264245,-57.283837750650854,-39.861917708070635
GroupKFold5,absolute,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",N+H,0.9867307185061185,0.3920561432565672,0.5086865826100034,-17.4252598615891,-8.580740409954444
GroupKFold5,absolute,50,4,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",Spatial,0.9892535007536188,0.3366538905697197,0.4577834472933174,-0.8316570560513473,2.2846928662980055
GroupKFold5,absolute,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Persistence,0.9909922524013932,0.3215341802816901,0.42753719895557984,0.0,0.0
GroupKFold5,absolute,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N,0.9817614979390391,0.5112640498834563,0.6083596293527475,-59.00768292675677,-42.29396432378149
GroupKFold5,absolute,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",N+H,0.9920448167739373,0.3223875055853266,0.4017823890203111,-0.26539178599577895,6.023992765584968
GroupKFold5,absolute,50,5,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",Spatial,0.9920640198222216,0.28606978044256265,0.40129716397195386,11.029744896190437,6.137485825263187
GroupKFold5,residual,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",ZeroResidual,-0.00523422168739085,0.5868714314355569,0.7046561016647527,0.0,0.0
GroupKFold5,residual,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",H,0.40258347327049404,0.4021068307083816,0.543228067075652,31.482977502452147,22.908768434379034
GroupKFold5,residual,50,1,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",SpatialResidual,0.5935739605321921,0.3521673656154878,0.4480581144347779,39.99241626840741,36.414640648645644
