validation,target,horizon,model,folds,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,mae_reduction_mean_pct,mae_reduction_std_pct,rmse_reduction_mean_pct,rmse_reduction_std_pct
LOSO,increment,20,Spatial,10,0.05029363264080859,0.018444106044726353,0.25042632677838217,0.05305899510391033,0.3489932694520138,0.1017617526972791,5.719102202128804,1.92581429422561,6.01747434095432,2.01958202292517
LOSO,increment,50,N,10,0.2009083423451108,0.06527002760507844,0.27728630808231214,0.05577893684098879,0.3823607939405103,0.10119353192071984,20.778133838624697,5.415956940559103,21.825771090203776,5.928922445525619
LOSO,increment,50,N+H,10,0.20165389911126588,0.0656923570905468,0.27682505871659285,0.05592364972592786,0.3821682157474885,0.10112045032897596,20.91767929155448,5.454892976431891,21.863141141418122,5.938618998308284
LOSO,increment,50,Persistence,10,-0.3134085655645215,0.09362948411501484,0.34771537915492956,0.047041108127943855,0.48411069046006017,0.09147962602413726,0.0,0.0,0.0,0.0
LOSO,increment,50,Spatial,10,0.2033524034075742,0.06334861639384103,0.2766929640123035,0.055735107534604846,0.3818028226054347,0.1010328073501265,20.952869827975054,5.3742733797527436,21.943073753387836,5.861346965846099
LOSO,increment,120,N,10,0.5223993679744032,0.06543921463365943,0.3090875103787154,0.04228881704646115,0.4223349219657961,0.07378072823181463,48.22062400406985,4.889931767916274,48.554027068495586,4.94235573173752
LOSO,increment,120,N+H,10,0.523498267109052,0.066189472458387,0.3076471897626675,0.04226432984998321,0.42171441649746316,0.07308665875454075,48.45914112921944,4.936425508803491,48.61916924686562,4.926675824524938
LOSO,increment,120,Persistence,10,-0.8078450896420541,0.12181572683523943,0.5961441729885057,0.044731860089379814,0.8175014280414826,0.08005520174120995,0.0,0.0,0.0,0.0
LOSO,increment,120,Spatial,10,0.5254306877718941,0.06579216644229087,0.30759987785127413,0.04248227522010441,0.42100426922357703,0.07388527107651985,48.472250176844604,4.925690488694131,48.718793779787724,4.9586382235674735
LOSO,residual,20,H,10,0.3210341945392978,0.16194721013188468,0.39215569555860286,0.051774478206514395,0.5385787272126736,0.10091815625629713,28.129558498647036,6.458268856266144,19.01345428777474,8.40742622097502
LOSO,residual,20,SpatialResidual,10,0.5100984282901684,0.10160002226726737,0.34529315897212803,0.04142493721837217,0.4548969456422318,0.06363789559613209,36.58743273863649,5.930301887356178,31.141361269101044,6.384137106526951
LOSO,residual,20,ZeroResidual,10,-0.021889411944042547,0.03206338926008015,0.5447076402335893,0.044980807433069196,0.6611684849004785,0.07333259033544623,0.0,0.0,0.0,0.0
LOSO,residual,50,H,10,0.3310100203810854,0.16270392952348975,0.3864890874399736,0.0524341951108229,0.5364873960770058,0.10179208473001523,29.630641058585656,6.378095331731035,19.647431840611514,8.534691401518973
LOSO,residual,50,SpatialResidual,10,0.5279860334812978,0.09994444090717822,0.33985596321227335,0.04333643079981659,0.44825468245517347,0.06569806057255656,37.988538944860125,6.125736933988351,32.44334201569203,6.4514478108113105
LOSO,residual,50,ZeroResidual,10,-0.02229605054382342,0.03252590026783996,0.5480261431290047,0.0448874863342567,0.6636187353061975,0.07339151968239785,0.0,0.0,0.0,0.0
LOSO,residual,120,H,10,0.34572767336966725,0.16410452526487787,0.37779746193235964,0.05262586936960949,0.5337229879888035,0.10335770474120251,31.99698180929022,6.093839559464251,20.61080329462982,8.72948454080526
