validation,target,horizon,fold,train_seeds,test_seeds,model,r2,mae,rmse,mae_reduction_vs_baseline_pct,rmse_reduction_vs_baseline_pct
LOSO,increment,20,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,N+H,0.040901684223087376,0.21001292570571511,0.28341851869974743,6.892724924630834,5.925077445497171
LOSO,increment,20,6,"1001,1002,1003,1004,1005,1007,1008,1009,1010",1006,Spatial,0.04182632178099466,0.21004248048017032,0.28328186816349515,6.879622090575526,5.9704357681429245
LOSO,increment,20,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,Persistence,-0.05339929668577392,0.256580782122905,0.3710372085511809,0.0,0.0
LOSO,increment,20,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,N,0.03510367192491193,0.24423215323247546,0.35510867245995853,4.812764536867938,4.292975400882247
LOSO,increment,20,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,N+H,0.035492711336454597,0.24392870925515797,0.3550370765831994,4.931029036183455,4.312271545610888
LOSO,increment,20,7,"1001,1002,1003,1004,1005,1006,1008,1009,1010",1007,Spatial,0.03562261348676998,0.2439847702383348,0.3550131671564759,4.909179783596024,4.3187154887444725
LOSO,increment,20,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,Persistence,-0.05852933593908527,0.2920600558659218,0.3960648394260267,0.0,0.0
LOSO,increment,20,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,N,0.036120344822784145,0.27690007682860085,0.3779429488492489,5.190706066385392,4.575485822735462
LOSO,increment,20,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,N+H,0.03671022667562285,0.2765637885735342,0.3778272830576049,5.305849595365964,4.604689574275648
LOSO,increment,20,8,"1001,1002,1003,1004,1005,1006,1007,1009,1010",1008,Spatial,0.037174365831290745,0.27674511545698943,0.37773624837109093,5.24376411677574,4.6276743680396875
LOSO,increment,20,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,Persistence,-0.0321375424302659,0.37952381005586594,0.6119066203579591,0.0,0.0
LOSO,increment,20,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,N,0.02262418891642648,0.3718090977258593,0.5954525475424978,2.0327347390592014,2.688984277672275
LOSO,increment,20,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,N+H,0.022925902785845387,0.3716992361588224,0.5953606329702534,2.0616819524160483,2.7040052905501164
LOSO,increment,20,9,"1001,1002,1003,1004,1005,1006,1007,1008,1010",1009,Spatial,0.022906058809374907,0.371502508672799,0.5953666787053928,2.113517299978152,2.7030172745786816
LOSO,increment,20,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,Persistence,-0.04604520293676284,0.3182843798882682,0.4565368072015282,0.0,0.0
LOSO,increment,20,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,N,0.03426006095919332,0.30553657079155966,0.4386626595526417,4.005163276056328,3.9151602602320636
LOSO,increment,20,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,N+H,0.03471678477274154,0.3055489135820525,0.43855891973219074,4.001285363323956,3.937883470894284
LOSO,increment,20,10,"1001,1002,1003,1004,1005,1006,1007,1008,1009",1010,Spatial,0.03545694123394216,0.3056905511432955,0.43839074915741066,3.9567850453087443,3.9747196190705782
LOSO,absolute,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,Persistence,0.9909000086783546,0.3307598985915493,0.44486235255778284,0.0,0.0
LOSO,absolute,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,N,0.9782607334218304,0.5781880424923099,0.6875869242547877,-74.8059680010684,-54.56172461019335
LOSO,absolute,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,N+H,0.9901485828260572,0.3665641191671095,0.4628651895798034,-10.82483720911232,-4.046833120067666
LOSO,absolute,50,1,"1002,1003,1004,1005,1006,1007,1008,1009,1010",1001,Spatial,0.9921461595871423,0.3107515271815169,0.413281724749748,6.049213189154008,7.098966146822426
