day,iteration_end_of_day,tumor_cells,crm_ms,frm_ms,frm_crm_ratio,kernel_delta_ms,kernel_mean_ms
27,648,2471,1.046299,2.277908,2.1771099848131366,1.231609,1.6621035000000002
28,672,2571,1.213594,2.676818,2.205694820508341,1.4632239999999999,1.945206
29,696,2935,1.168762,2.96488,2.536769675947712,1.7961179999999999,2.066821
30,720,3314,1.191514,3.706222,3.110514857567767,2.5147079999999997,2.448868
31,744,3687,1.321497,3.654094,2.765117136096412,2.3325970000000003,2.4877955
32,768,4019,1.291706,3.779949,2.9263230177764905,2.4882429999999998,2.5358275
33,792,3946,1.307002,3.286511,2.514541676294298,1.979509,2.2967565
34,816,4168,1.343737,3.689037,2.745356420192344,2.3453,2.516387
35,840,4967,1.346041,3.787693,2.813950689466368,2.441652,2.5668670000000002
36,864,5467,1.292825,3.841516,2.9714122174308204,2.548691,2.5671705
37,888,5853,1.424217,4.671625,3.280135681570996,3.2474079999999996,3.0479209999999997
38,912,6272,1.378521,3.622381,2.6277300091910094,2.2438599999999997,2.500451
39,936,6634,1.316089,5.511364,4.187683355760894,4.1952750000000005,3.4137265
40,960,7268,1.294073,4.73956,3.6625136294474885,3.445487,3.0168165
41,984,7803,1.423545,5.480677,3.8500201960598366,4.057132,3.452111
42,1008,7709,1.415833,4.518025,3.1910719696461376,3.1021919999999996,2.966929
43,1032,8471,1.565335,5.161862,3.2976084991391623,3.596527,3.3635985
44,1056,8686,1.53996,5.099111,3.311197044079067,3.559151,3.3195354999999998
45,1080,9838,1.603512,5.60522,3.495589680650971,4.001708,3.604366
46,1104,10097,1.730519,6.075426,3.5107537103030944,4.344907,3.9029725
47,1128,10505,1.482233,5.844034,3.9427229052382455,4.361801,3.6631335
48,1152,11098,1.633495,5.323268,3.258821116685389,3.6897729999999997,3.4783815
49,1176,10963,1.713079,5.315781,3.1030565432183805,3.6027020000000003,3.51443
50,1200,11640,1.710584,5.93565,3.469955290123139,4.225066,3.823117
51,1224,12093,1.760055,5.307045,3.015272250014914,3.5469899999999996,3.53355
52,1248,11894,1.742839,5.938306,3.407260223118716,4.195467,3.8405725
53,1272,12843,1.719734,5.750627,3.3439049294832803,4.030893,3.7351805
54,1296,13277,1.765174,5.726467,3.244137405150994,3.9612930000000004,3.7458205
55,1320,13953,1.764439,6.481567,3.673443513774066,4.717128,4.123003
56,1344,14491,1.839702,6.998365,3.804075333939953,5.158663,4.419033499999999
57,1368,15119,1.699703,8.195286,4.821598832266578,6.495583,4.9474944999999995
58,1392,15566,1.751223,6.872285,3.924277490645109,5.121062,4.311754
59,1416,15710,1.877398,7.122172,3.793639920783979,5.244774,4.499785
60,1440,16858,2.108214,7.881081,3.7382737236352668,5.772867,4.9946475
61,1464,17449,1.95807,7.076828,3.6141853968448525,5.118758,4.517449
62,1488,18098,2.164501,9.066834,4.188879561617204,6.9023330000000005,5.6156675
63,1512,18922,2.058357,7.84844,3.8129634460883124,5.790083,4.9533985000000005
64,1536,19352,2.021558,7.948824,3.9320286630410797,5.9272659999999995,4.985191
65,1560,18921,2.117141,8.052056,3.8032686533395745,5.934915,5.0845985
66,1584,20329,2.131701,8.354326,3.9190890279640533,6.222625000000001,5.2430135
67,1608,20853,2.085397,8.15711,3.9115381867337486,6.071712999999999,5.1212535
68,1632,21358,2.212149,8.779316,3.96868203724071,6.5671669999999995,5.4957325
69,1656,22325,2.26562,7.931,3.5005870357782856,5.66538,5.09831
70,1680,23528,2.335284,9.210897,3.944229909509935,6.8756129999999995,5.7730904999999995
71,1704,25710,2.447731,10.899145,4.452754408061997,8.451414,6.673438000000001
72,1728,25967,2.605234,8.39887,3.2238447678788167,5.793636000000001,5.502052
73,1752,27039,2.720978,10.309388,3.788853860633934,7.58841,6.515183
74,1776,27832,2.681362,12.009764,4.478978966659481,9.328402,7.345563
75,1800,29077,2.616179,11.380935,4.350212657467245,8.764755999999998,6.998557
76,1824,29233,2.615378,9.900078,3.785333515843599,7.284700000000001,6.257728
77,1848,31302,2.751314,12.487009,4.538561938041242,9.735695,7.619161500000001
78,1872,32214,2.742226,11.626373,4.239757408762078,8.884146999999999,7.1842995
