iteration,day,step,tumor_cells,rho_global,rho_max,hotspot_gap,active_regions,active_region_fraction,regional_cv,transition_ms
990,42,6,6803,0.00648785,0.151917,0.145429,4,0.0625,4.02901,1.34042
1000,42,16,7224,0.00688934,0.165588,0.158699,4,0.0625,4.051,1.8432
1010,43,2,7357,0.00701618,0.166992,0.159976,4,0.0625,4.03921,1.68346
1020,43,12,7820,0.00745773,0.170105,0.162647,4,0.0625,3.99904,1.85856
1030,43,22,7763,0.00740337,0.179016,0.171613,4,0.0625,4.05553,1.49402
1040,44,8,7862,0.00749779,0.176819,0.169321,4,0.0625,4.0268,1.72544
1050,44,18,7948,0.0075798,0.178833,0.171253,5,0.078125,4.03497,1.81453
1060,45,4,8735,0.00833035,0.194031,0.1857,5,0.078125,4.01935,1.7879
1070,45,14,8759,0.00835323,0.191895,0.183541,5,0.078125,4.00114,1.74899
1080,45,24,9098,0.00867653,0.18335,0.174673,5,0.078125,3.93642,1.55341
1090,46,10,9059,0.00863934,0.188538,0.179898,5,0.078125,3.95417,1.73261
1100,46,20,9333,0.00890064,0.18634,0.17744,5,0.078125,3.93213,1.93331
1110,47,6,9460,0.00902176,0.199402,0.19038,5,0.078125,3.96961,1.71008
1120,47,16,9625,0.00917912,0.203674,0.194495,5,0.078125,3.95137,1.9129
1130,48,2,10336,0.00985718,0.217957,0.208099,5,0.078125,3.96562,1.9159
1140,48,12,10245,0.00977039,0.226257,0.216487,5,0.078125,3.98763,1.97325
1150,48,22,10115,0.00964642,0.222717,0.213071,5,0.078125,3.98495,1.73978
1160,49,8,10135,0.00966549,0.217896,0.20823,5,0.078125,3.96451,1.78995
1170,49,18,10121,0.00965214,0.215759,0.206107,6,0.09375,3.9581,1.87904
1180,50,4,10519,0.0100317,0.217773,0.207742,6,0.09375,3.92525,1.84115
1190,50,14,10752,0.0102539,0.2146,0.204346,6,0.09375,3.89209,1.8985
1200,50,24,11043,0.0105314,0.219971,0.209439,7,0.109375,3.87914,2.01523
1210,51,10,11404,0.0108757,0.231384,0.220509,7,0.109375,3.8757,1.88518
1220,51,20,11551,0.0110159,0.235229,0.224214,7,0.109375,3.89244,1.81862
1230,52,6,11700,0.011158,0.246948,0.23579,8,0.125,3.90143,1.67424
1240,52,16,12064,0.0115051,0.252136,0.240631,8,0.125,3.88176,2.06643
1250,53,2,12553,0.0119715,0.258606,0.246634,8,0.125,3.86056,1.90976
1260,53,12,12806,0.0122128,0.250549,0.238337,8,0.125,3.82183,2.0224
1270,53,22,13237,0.0126238,0.273132,0.260509,8,0.125,3.84613,1.88922
1280,54,8,13713,0.0130777,0.291565,0.278487,8,0.125,3.86237,2.09101
1290,54,18,13962,0.0133152,0.302246,0.288931,8,0.125,3.85287,2.08896
1300,55,4,14307,0.0136442,0.306396,0.292752,8,0.125,3.83546,2.09408
1310,55,14,14567,0.0138922,0.299255,0.285363,8,0.125,3.788,2.21184
1320,55,24,14923,0.0142317,0.30835,0.294118,10,0.15625,3.76186,2.21286
1330,56,10,15345,0.0146341,0.31134,0.296706,11,0.171875,3.7399,2.29171
1340,56,20,15222,0.0145168,0.302612,0.288095,10,0.15625,3.69675,2.30605
1350,57,6,15868,0.0151329,0.311768,0.296635,10,0.15625,3.66829,2.15347
1360,57,16,16159,0.0154104,0.313049,0.297639,10,0.15625,3.65754,2.38592
1370,58,2,16371,0.0156126,0.309021,0.293408,11,0.171875,3.62559,2.24666
1380,58,12,16766,0.0159893,0.312622,0.296633,11,0.171875,3.62522,2.32858
1390,58,22,17126,0.0163326,0.307739,0.291407,10,0.15625,3.59203,2.23846
1400,59,8,17518,0.0167065,0.297974,0.281267,11,0.171875,3.56743,2.30605
1410,59,18,17679,0.01686,0.294006,0.277146,11,0.171875,3.56401,2.1719
1420,60,4,17355,0.016551,0.285461,0.26891,11,0.171875,3.53889,2.36954
1430,60,14,17873,0.017045,0.289001,0.271956,11,0.171875,3.52521,2.24768
1440,60,24,18434,0.01758,0.303955,0.286375,11,0.171875,3.49368,2.35622
1450,61,10,18407,0.0175543,0.294739,0.277184,12,0.1875,3.46637,2.46374
1460,61,20,18492,0.0176353,0.300476,0.282841,12,0.1875,3.47489,2.18419
1470,62,6,18950,0.0180721,0.312683,0.294611,12,0.1875,3.46832,2.33171
1480,62,16,18900,0.0180244,0.316772,0.298748,12,0.1875,3.45572,2.47398
1490,63,2,18989,0.0181093,0.309448,0.291339,12,0.1875,3.42628,2.96858
1500,63,12,19136,0.0182495,0.304932,0.286682,12,0.1875,3.3836,2.39411
1510,63,22,19782,0.0188656,0.312561,0.293695,12,0.1875,3.35746,2.49344
1520,64,8,19789,0.0188723,0.317871,0.298999,12,0.1875,3.37234,2.24973
1530,64,18,20331,0.0193892,0.330261,0.310872,12,0.1875,3.34703,2.49139
1540,65,4,20625,0.0196695,0.321716,0.302047,12,0.1875,3.29584,2.52211
1550,65,14,21142,0.0201626,0.337341,0.317179,12,0.1875,3.30078,2.52211
1560,65,24,21701,0.0206957,0.335632,0.314937,12,0.1875,3.3243,2.51802
1570,66,10,22058,0.0210361,0.332214,0.311178,12,0.1875,3.31333,2.46477
1580,66,20,22594,0.0215473,0.333618,0.312071,12,0.1875,3.30486,2.65933
1590,67,6,23108,0.0220375,0.32666,0.304623,12,0.1875,3.26337,2.66342
1600,67,16,22982,0.0219173,0.307373,0.285456,12,0.1875,3.23455,2.46477
1610,68,2,23002,0.0219364,0.309937,0.288,12,0.1875,3.22276,2.58662
1620,68,12,23449,0.0223627,0.31189,0.289527,12,0.1875,3.20576,2.5559
1630,68,22,23811,0.0227079,0.312866,0.290158,12,0.1875,3.17779,2.6839
1640,69,8,23749,0.0226488,0.314148,0.291499,12,0.1875,3.16823,2.58048
1650,69,18,23982,0.022871,0.322021,0.29915,13,0.203125,3.10726,2.85901
1660,70,4,24766,0.0236187,0.320129,0.296511,13,0.203125,3.11174,2.63475
1670,70,14,25585,0.0243998,0.328735,0.304336,13,0.203125,3.07567,2.93888
1680,70,24,25920,0.0247192,0.328796,0.304077,13,0.203125,3.0719,2.86106
1690,71,10,26454,0.0252285,0.337219,0.311991,13,0.203125,3.05372,3.26144
1700,71,20,26654,0.0254192,0.340637,0.315218,13,0.203125,3.06495,2.67981
1710,72,6,27075,0.0258207,0.332947,0.307126,13,0.203125,2.99439,2.85389
1720,72,16,28092,0.0267906,0.350952,0.324162,13,0.203125,2.97088,2.93581
