snapshot_file,day,iteration_end_of_day,simulated_hour_end_of_day,grid_size,grid_cells_total,tumour_cells,area_lattice,r_eff,centroid_row,centroid_col,centroid_offset_from_grid_center,bbox_height,bbox_width,bbox_area,rho_tumour_bbox,radius_gyration,max_radius_centroid,anisotropy,perimeter_4n,compactness,regions_axis,n_regions,active_regions,active_region_fraction,rho_global,rho_region_mean,rho_region_std,rho_max,hotspot_gap,hotspot_ratio,hotspot_excess_norm,regional_density_cv,regional_imbalance_linf,spatial_entropy,spatial_entropy_norm_all,spatial_entropy_norm_active,regional_hhi,hotspot_region_row,hotspot_region_col,ro_min,ro_mean,ro_median,ro_max,ro_std,ro_gt_10_fraction,d_tumour_cells_per_day,d_r_eff_per_day,d_rho_tumour_bbox_per_day,d_rho_max_per_day,d_hotspot_gap_per_day,d_hotspot_ratio_per_day,d_hotspot_excess_norm_per_day,d_active_region_fraction_per_day,d_spatial_entropy_norm_all_per_day,d_regional_hhi_per_day,d_regional_density_cv_per_day,d_regional_imbalance_linf_per_day,d_compactness_per_day,d_anisotropy_per_day,iteration_end_of_day_profile,tumor_cells,crm_ms,frm_ms,frm_crm_ratio,kernel_delta_ms,kernel_mean_ms
50dia.txt,50,1200,1200,1024,1048576,11640,11640,60.86975501165849,478.7277491408935,500.67242268041235,34.51458904555951,271,215,58265,0.19977688148974512,76.64364037785585,141.7388485450646,0.31758612348343623,27068,0.0001996413549439797,8,64,6,0.09375,0.01110076904296875,0.01110076904296875,0.04187814410370728,0.24945068359375,0.23834991455078125,22.47147766323024,21.47147766323024,3.772544401347849,21.47147766323024,1.5545903800468093,0.3737999719845368,0.8676334110384664,0.23800142593970314,3,3,10.0,18.59020618556701,10.0,100000.0,926.7474978938628,8.59106529209622e-05,360.4,0.9819312377384761,0.004891667842099429,0.004931640625,0.004587936401367188,-0.2975727332616572,-0.2975727332616572,0.0,0.0038464618090983784,-0.0038436080165523577,-0.031927279261202465,-0.2975727332616572,-8.83435083450631e-06,0.004363427076578663,1200,11640,1.710584,5.93565,3.469955290123139,4.225066,3.823117
55dia.txt,55,1320,1320,1024,1048576,13953,13953,66.64366317904825,485.9675338636852,501.97971762345014,27.249634924734437,315,244,76860,0.18153786104605776,84.22704805943687,163.81944449730022,0.37500912190672214,32836,0.00016262112616524963,8,64,8,0.125,0.013306617736816406,0.013306617736816406,0.04749978502206322,0.24505615234375,0.2317495346069336,18.416111230559736,17.416111230559736,3.5696362487848465,17.416111230559736,1.6255653314715863,0.39086584039251365,0.7817316807850273,0.21472348357248047,3,3,10.0,17.166200817028596,10.0,100000.0,846.4614966202184,7.166917508779473e-05,462.6,1.1547816334779513,-0.003647804088737472,-0.00087890625,-0.0013200759887695313,-0.8110732865341006,-0.8110732865341006,0.00625,0.0034131736815953715,-0.004655588473444533,-0.04058163051260051,-0.8110732865341006,-7.404045755746011e-06,0.011484599684657181,1320,13953,1.764439,6.481567,3.673443513774066,4.717128,4.123003
60dia.txt,60,1440,1440,1024,1048576,16858,16858,73.25345084899648,484.10772333610157,502.7874006406454,28.744498750685857,334,269,89846,0.18763217060303186,92.40848285232175,171.93926963914708,0.34422226595436534,39324,0.00013699368207410953,8,64,8,0.125,0.016077041625976562,0.016077041625976562,0.055212186853364445,0.26336669921875,0.24728965759277344,16.381539921698895,15.381539921698897,3.4342255333938474,15.381539921698897,1.6967089651929324,0.4079722683192814,0.8159445366385628,0.19990476584709774,3,3,10.0,15.931308577529956,10.0,100000.0,770.0885431207106,5.931901767706727e-05,581.0,1.3219575339896465,0.0012188619113948195,0.003662109375,0.0031080245971679688,-0.4069142617721681,-0.4069142617721678,0.0,0.003421285585353551,-0.002963743545076547,-0.027082143078199828,-0.4069142617721678,-5.12548881822802e-06,-0.006157371190471361,1440,16858,2.108214,7.881081,3.7382737236352663,5.772867,4.9946475
65dia.txt,65,1560,1560,1024,1048576,18921,18921,77.60632291562011,479.5147190951852,500.4357592093441,33.84487581353376,357,295,105315,0.17966101694915254,102.31149496415169,188.05012008973966,0.32934490870345656,45290,0.00011591758067659061,8,64,12,0.1875,0.018044471740722656,0.018044471740722656,0.0584601253163105,0.27227783203125,0.25423336029052734,15.08926589503726,14.08926589503726,3.2397803690965383,14.08926589503726,1.8256477242997762,0.43897548637625144,0.734694691430574,0.17962776312473908,3,3,10.0,15.284604407800856,10.0,100000.0,726.8972882686114,5.2851329210929655e-05,412.6,0.8705744133247265,-0.0015942307307758642,0.0017822265625,0.0013887405395507813,-0.2584548053323271,-0.25845480533232745,0.0125,0.006200643611394008,-0.004055400544471732,-0.03888903285946181,-0.25845480533232745,-4.215220279503784e-06,-0.0029754714501817547,1560,18921,2.117141,8.052056,3.803268653339575,5.934915,5.0845985
70dia.txt,70,1680,1680,1024,1048576,23528,23528,86.54013520981017,479.08679020741243,498.76738354301256,34.824354852589046,381,319,121539,0.19358395247615992,110.42520686791184,202.79586526612354,0.2773087585890586,54766,9.857637222741774e-05,8,64,13,0.203125,0.02243804931640625,0.02243804931640625,0.06970278435665862,0.31219482421875,0.28975677490234375,13.913634818089085,12.913634818089085,3.1064547266902274,12.913634818089085,1.9161654323426485,0.4607403944605993,0.7470578032148858,0.16640720264025094,3,3,10.0,14.249829989799387,10.0,100000.0,651.8607517139673,4.250255015300918e-05,921.4,1.7867624588380124,0.002784587105401476,0.0079833984375,0.007104682922363281,-0.23512621538963502,-0.23512621538963502,0.003125,0.004352981616869566,-0.002644112096897627,-0.02666512848126219,-0.23512621538963502,-3.4682416898345752e-06,-0.010407230022879587,1680,23528,2.335284,9.210897,3.944229909509935,6.875613,5.7730905
75dia.txt,75,1800,1800,1024,1048576,29077,29077,96.2054913223049,480.5738556247206,494.8359528149396,35.1299996371555,396,347,137412,0.21160451780048323,119.15981710537469,207.38653602093993,0.2078881208353274,67912,7.922576097247996e-05,8,64,13,0.203125,0.02772998809814453,0.02772998809814453,0.08019063336250601,0.363525390625,0.33579540252685547,13.109467964370465,12.109467964370465,2.891838001469309,12.109467964370465,2.083492456865035,0.5009740392081248,0.81229379862962,0.1462926097928439,3,3,10.0,13.438800426453898,10.0,100000.0,586.3734554810206,3.439144340887987e-05,1109.8,1.9330712224989441,0.0036041130648646613,0.01026611328125,0.009207725524902344,-0.16083337074372395,-0.16083337074372395,0.0,0.008046728949505099,-0.004022918569481409,-0.04292334504418367,-0.16083337074372395,-3.870122250987555e-06,-0.013884127550746245,1800,29077,2.616179,11.380935,4.350212657467245,8.764755999999998,6.998557
80dia.txt,80,1920,1920,1024,1048576,35749,35749,106.67361492508039,476.6375283224706,497.0213991999776,37.74946109009967,400,402,160800,0.22231965174129353,129.04411281371492,218.92698705014504,0.10397245713889408,81334,6.790933835072338e-05,8,64,13,0.203125,0.03409290313720703,0.03409290313720703,0.0892007293106868,0.34857177734375,0.31447887420654297,10.224174102772105,9.224174102772105,2.6164016878145606,9.224174102772105,2.2381559102836124,0.5381627387504153,0.8725926318087842,0.12258684049998252,3,3,10.0,12.79700131472209,10.0,100000.0,528.8329965525098,2.797281042826373e-05,1334.4,2.0936247205550984,0.0021430267881620614,-0.00299072265625,-0.0042633056640625,-0.577058772319672,-0.577058772319672,0.0,0.007437739908458108,-0.0047411538585722755,-0.05508726273094968,-0.577058772319672,-2.2632845243513173e-06,-0.020783132739286662,1920,35749,3.166863,14.510359,4.581934551636746,11.343495999999998,8.838611
85dia.txt,85,2040,2040,1024,1048576,40095,40095,112.97183227043406,481.3261254520514,497.77024566654194,33.15069922780592,428,441,188748,0.21242609193209994,137.1631465494096,237.38231502063806,0.10281816046281281,92850,5.844350660633009e-05,8,64,15,0.234375,0.038237571716308594,0.038237571716308594,0.09343439737434417,0.35845947265625,0.3202219009399414,9.374535478239181,8.374535478239181,2.443523298695606,8.374535478239181,2.3450584058732367,0.5638673554580494,0.8659582473466588,0.10891884548856647,3,3,10.0,12.493827160493828,10.0,100000.0,499.3511375814331,2.4940765681506424e-05,869.2,1.2596434690707354,-0.0019787119618387195,0.0019775390625,0.0011486053466796876,-0.16992772490658475,-0.16992772490658475,0.00625,0.005140923341526826,-0.0027335990022832103,-0.03457567782379094,-0.16992772490658475,-1.8931663488786576e-06,-0.0002308593352162547,2040,40095,3.490669,16.020463,4.589510778592872,12.529794,9.755566
90dia.txt,90,2160,2160,1024,1048576,45736,45736,120.6574529587868,476.8229622179465,495.89942277418226,38.024662511542026,462,488,225456,0.20285998154850615,146.73201749676986,261.298839503111,0.05837371614005517,105932,5.1216948479925946e-05,8,64,18,0.28125,0.04361724853515625,0.04361724853515625,0.09985400907445853,0.3582763671875,0.31465911865234375,8.21409830330593,7.21409830330593,2.289323889698693,7.21409830330593,2.4477118057519616,0.5885502806139542,0.8468501669603895,0.09751568549914302,3,4,10.0,12.186242784677278,10.0,100000.0,467.5442614152883,2.1864614308203603e-05,1128.2,1.5371241376705485,-0.0019132220767187568,-3.662109375e-05,-0.0011125564575195312,-0.23208743498665035,-0.23208743498665035,0.009375,0.004936585031180951,-0.0022806319978846885,-0.030839881799382594,-0.23208743498665035,-1.4453116252808288e-06,-0.008888888864551529,2160,45736,3.828524,15.535121,4.057731125624392,11.706597,9.6818225
95dia.txt,95,2280,2280,1024,1048576,51323,51323,127.81478118203188,483.65385889367343,502.1830952984042,29.363451563671255,483,533,257439,0.19935984835242523,155.8374916922701,284.87301613909915,0.052395646600023243,118946,4.5585026825759636e-05,8,64,20,0.3125,0.04894542694091797,0.04894542694091797,0.10482309450146692,0.38232421875,0.33337879180908203,7.811234729068839,6.811234729068839,2.14163203904624,6.811234729068839,2.557777884649808,0.6150155783132902,0.85380723345327,0.08729043422920867,4,3,10.0,11.948249322915652,10.0,100000.0,441.36340369689884,1.9484441673323852e-05,1117.4,1.4314656446490148,-0.0007000266392161835,0.0048095703125,0.0037439346313476564,-0.08057271484741815,-0.08057271484741815,0.00625,0.005293059539867207,-0.0020450502539868715,-0.02953837013049059,-0.08057271484741815,-1.126384330833262e-06,-0.0011956139080063848,2280,51323,4.641225,19.570654,4.216700116887244,14.929429,12.105939500000002
100dia.txt,100,2400,2400,1024,1048576,56537,56537,134.15023680625006,484.23252029644306,503.1073279445319,28.52985092170173,506,556,281336,0.20095899564933034,165.4978386748583,298.1864243350834,0.04886319546561088,130518,4.1706313509802256e-05,8,64,21,0.328125,0.053917884826660156,0.053917884826660156,0.10908396864372018,0.36993408203125,0.31601619720458984,6.86106443567929,5.86106443567929,2.0231499991962347,5.86106443567929,2.639061694009583,0.6345602030912755,0.866822875505878,0.0795802487382457,3,4,10.0,11.7685763305446,10.0,100000.0,420.51970159425065,1.7687532058651855e-05,1042.8,1.267091124843637,0.0003198294593810214,-0.00247802734375,-0.0034725189208984373,-0.19003405867790982,-0.19003405867790982,0.003125,0.003908924955597049,-0.0015420370981925919,-0.023696407970001054,-0.19003405867790982,-7.75742663191476e-07,-0.0007064902268824724,2400,56537,4.908743,19.345919,3.941114660107485,14.437175999999996,12.127331
105dia.txt,105,2520,2520,1024,1048576,63121,63121,141.74638734658126,481.3634923401087,502.1058284881418,31.566747572863704,534,556,296904,0.21259733786004903,173.56957951713022,293.4246787645088,0.04854114637417926,145300,3.757097850326355e-05,8,64,22,0.34375,0.060196876525878906,0.060196876525878906,0.1155787023488628,0.38433837890625,0.3241415023803711,6.384689722913135,5.384689722913135,1.9200116188615701,5.384689722913135,2.7151364507822495,0.6528523154800688,0.8783885992352978,0.07322569713380354,3,3,10.0,11.584100378637855,10.0,100000.0,397.9845317169872,1.5842588045183062e-05,1316.8,1.519230108066239,0.0023276684421437376,0.002880859375,0.00162506103515625,-0.09527494255323088,-0.09527494255323088,0.003125,0.0036584224777586717,-0.0012709103208884327,-0.020627676066932922,-0.09527494255323088,-8.27067001307741e-07,-6.440981828632481e-05,2520,63121,5.254757,19.271518,3.667442281346217,14.016761,12.2631375
110dia.txt,110,2640,2640,1024,1048576,69762,69762,149.01655706650052,478.9132479000029,500.81702072761675,34.293183849867845,564,593,334452,0.20858598543288723,183.49416714268844,315.959491028001,0.07619880039465597,159992,3.424776636284986e-05,8,64,24,0.375,0.06653022766113281,0.06653022766113281,0.12034493559538738,0.37664794921875,0.3101177215576172,5.661305581835383,4.661305581835383,1.8088760526772298,4.661305581835383,2.805820144538794,0.6746571346920789,0.8828737001700194,0.06675050896795558,2,3,10.0,11.433301797540208,10.0,100000.0,378.56808156790316,1.4334451420544136e-05,1328.2,1.4540339439838532,-0.0008022704854323603,-0.0015380859375,-0.0028047561645507812,-0.14467682821555047,-0.14467682821555047,0.00625,0.00436096384240201,-0.0012950376331695933,-0.022227113236868056,-0.14467682821555047,-6.646424280827381e-07,0.005531530804095343,2640,69762,6.175648,25.557503,4.13843259849007,19.381855,15.8665755
115dia.txt,115,2760,2760,1024,1048576,75307,75307,154.8255876747856,477.0355079873053,500.6968542101,36.117989543313854,583,612,356796,0.2110645859258512,191.6025915876835,332.8724243877193,0.08143083687793981,174640,3.1028284553259714e-05,8,64,26,0.40625,0.07181835174560547,0.07181835174560547,0.12449582459162803,0.37451171875,0.30269336700439453,5.214707796088013,4.214707796088013,1.7334820636460218,4.214707796088013,2.8719992467897164,0.6905698451300604,0.8814960555262651,0.06257750101535109,2,3,10.0,11.32776501520443,10.0,100000.0,364.3644616456927,1.3278978049849284e-05,1109.0,1.1618061216570141,0.0004957200985927946,-0.00042724609375,-0.0014848709106445312,-0.089319557149474,-0.089319557149474,0.00625,0.003182542087596296,-0.0008346015905208975,-0.015078797806241617,-0.089319557149474,-6.438963619180295e-07,0.0010464072966567678,2760,75307,6.927772,24.394501,3.521262102736637,17.466729,15.6611365
120dia.txt,120,2880,2880,1024,1048576,85393,85393,164.86793536310338,476.14922768845224,497.207850760601,38.13059969242741,609,617,375753,0.2272583319361389,199.37499479031362,329.8555753378256,0.06037216138148854,196666,2.7744286840717388e-05,8,64,27,0.421875,0.0814371109008789,0.0814371109008789,0.13169128475490188,0.39398193359375,0.3125448226928711,4.837867272493061,3.8378672724930616,1.617091806156898,3.8378672724930616,2.981580439025889,0.7169185522323648,0.9046504909815438,0.056484154836559046,2,3,10.0,11.170939069947185,10.0,100000.0,342.170756356696,1.1710561755647419e-05,2017.2,2.008469537663558,0.003238749202057539,0.00389404296875,0.0019702911376953125,-0.07536810471899039,-0.07536810471899029,0.003125,0.005269741420460883,-0.0012186692357584086,-0.023278051497824758,-0.07536810471899029,-6.567995425084652e-07,-0.004211735099290253,2880,85393,7.980951,26.000509,3.25782090379956,18.019558,16.99073
125dia.txt,125,3000,3000,1024,1048576,94513,94513,173.44861565572845,475.6557193190355,497.7981864928634,38.373847225944345,632,649,410168,0.23042509410778023,208.0071846084426,343.19749670954064,0.03858107792054596,215204,2.564488370878342e-05,8,64,30,0.46875,0.0901346206665039,0.0901346206665039,0.1361776038036019,0.37664794921875,0.2865133285522461,4.178726736004571,3.178726736004571,1.5108246176289575,3.178726736004571,3.062399655953618,0.7363514661440589,0.9003886903079503,0.051290484769276334,3,3,10.0,11.057949700041265,10.0,100000.0,325.24340308384143,1.0580555055918234e-05,1824.0,1.7161360585250123,0.000633352434328266,-0.003466796875,-0.005206298828125,-0.13182810729769798,-0.13182810729769817,0.009375,0.003886582782338821,-0.0010387340134565422,-0.021253437705588095,-0.13182810729769817,-4.198806263867935e-07,-0.004358216692188517,3000,94513,9.284208,31.316034,3.373043128719219,22.031826,20.300121
130dia.txt,130,3120,3120,1024,1048576,102517,102517,180.64377819870705,477.56508676609735,501.8799418633007,35.27213992297569,650,681,442650,0.23159832825031063,216.81781291899392,354.1710781201813,0.03721151290180703,233834,2.3560821830605394e-05,8,64,31,0.484375,0.09776782989501953,0.09776782989501953,0.14119611999499465,0.3779296875,0.28016185760498047,3.8655832691163416,2.8655832691163416,1.4441981595235085,2.8655832691163416,3.1279884477912048,0.7521222369310563,0.9108911191357163,0.04821419256204828,4,2,10.0,10.975350429684832,10.0,100000.0,312.28886972757414,9.75447974482281e-06,1600.8,1.4390325085957216,0.00023464682850607988,0.00025634765625,-0.001270294189453125,-0.06262869337764591,-0.06262869337764583,0.003125,0.0031541541573994803,-0.0006152584414456111,-0.013325291621089797,-0.06262869337764583,-4.1681237563560524e-07,-0.000273913003747786,3120,102517,9.848269,30.872325,3.1347970897220616,21.024056,20.360297
135dia.txt,135,3240,3240,1024,1048576,114711,114711,191.08543993205976,482.35243350681276,502.961764782802,30.37239030927549,701,726,508926,0.2253981914855991,227.97133341064588,381.4022899904984,0.016856750756830734,256514,2.1907498156669275e-05,8,64,33,0.515625,0.10939693450927734,0.10939693450927734,0.14638051538034444,0.38568115234375,0.27628421783447266,3.5255206562579002,2.5255206562579002,1.338067799038105,2.5255206562579002,3.216083489454887,0.7733046168869064,0.9197988086449383,0.04360039741910435,4,4,10.0,10.871668802468813,10.0,100000.0,295.2243278463943,8.717559780666195e-06,2438.8,2.0883323466705406,-0.0012400273529423079,0.00155029296875,-0.0007755279541015625,-0.06801252257168829,-0.06801252257168829,0.00625,0.00423647599117003,-0.0009227590285887863,-0.021226072097080717,-0.06801252257168829,-3.306647347872239e-07,-0.004070952428995259,3240,114711,11.250438,38.39091,3.4123924775195413,27.140471999999995,24.820674
